CID,CYCLE,INDVIS,ORG_NAME,PACS,TOTAL,SOURCE
N00000515,2020,0,National Assn of Convenience Stores,10000,10000
N00000515,2020,0,National Rural Electric Cooperative Assn,10000,10000
N00000515,2020,0,"Sheet Metal, Air, Rail & Transportation Union",10000,10000
N00000515,2020,0,National Assn of Realtors,9000,9000
N00000515,2020,113,Lowe's Companies,8500,8613
N00000575,2022,6500,Guardian Life Insurance,10000,16500
N00000575,2022,0,Cigna Corp,15000,15000
N00000575,2022,15000,Phibro LLC,0,15000
N00000575,2022,0,Massachusetts Mutual Life Insurance,12500,12500
N00000575,2022,12000,Data-Mail Inc,0,12000
N00000575,2022,1250,Deloitte LLP,10000,11250
N00000575,2022,1000,American Bankers Assn,10000,11000
N00000575,2022,500,Credit Union National Assn,10000,10500
N00000575,2022,250,CVS Health,10000,10250
N00000575,2022,0,AFLAC Inc,10000,10000
N00000575,2022,125,Raytheon Technologies,15000,15125
N00000575,2022,4000,Guardian Life Insurance,10000,14000
N00000575,2022,0,Credit Union National Assn,12500,12500
N00000575,2022,0,American Optometric Assn,11000,11000
N00000575,2022,500,Travelers Companies,10000,10500
N00000575,2022,20,CVS Health,10000,10020
N00000575,2022,0,AEGON NV,10000,10000
N00000575,2022,0,AFLAC Inc,10000,10000
N00000575,2022,0,American Council of Life Insurers,10000,10000
N00000575,2022,0,American Crystal Sugar,10000,10000
N00000575,2020,6500,Guardian Life Insurance,10000,16500
N00000575,2020,0,Cigna Corp,15000,15000
N00000575,2020,15000,Phibro LLC,0,15000
N00000575,2020,0,Massachusetts Mutual Life Insurance,12500,12500
N00000575,2020,12000,Data-Mail Inc,0,12000
N00000575,2020,1250,Deloitte LLP,10000,11250
N00000575,2020,1000,American Bankers Assn,10000,11000
N00000575,2020,500,Credit Union National Assn,10000,10500
N00000575,2020,250,CVS Health,10000,10250
N00000575,2020,0,AFLAC Inc,10000,10000
N00000575,2020,125,Raytheon Technologies,15000,15125
N00000575,2020,4000,Guardian Life Insurance,10000,14000
N00000575,2020,0,Credit Union National Assn,12500,12500
N00000575,2020,0,American Optometric Assn,11000,11000
N00000575,2020,500,Travelers Companies,10000,10500
N00000575,2020,20,CVS Health,10000,10020
N00000575,2020,0,AEGON NV,10000,10000
N00000575,2020,0,AFLAC Inc,10000,10000
N00000575,2020,0,American Council of Life Insurers,10000,10000
N00000575,2020,0,American Crystal Sugar,10000,10000
N00000615,2022,65450,Lockheed Martin,6000,71450
N00000615,2022,32200,American Israel Public Affairs Cmte,4200,36400
N00000615,2022,25462,Yale University,0,25462
N00000615,2022,5800,Alzheimer's Assn,10000,15800
N00000615,2022,0,USA Farm Worker PAC,13000,13000
N00000615,2022,0,National Rural Electric Cooperative Assn,12500,12500
N00000615,2022,11800,Kolmar Group,0,11800
N00000615,2022,11600,Hamsterhead Inc,0,11600
N00000615,2022,11500,Cavarocchi Ruscio Dennis Assoc,0,11500
N00000615,2022,0,Marine Engineers Beneficial Assn,11500,11500
N00000615,2022,35223,Yale University,0,35223
N00000615,2022,24223,"Koskoff, Koskoff & Bieder",0,24223
N00000615,2022,180,Raytheon Technologies,16000,16180
N00000615,2022,5000,Service Employees International Union,10000,15000
N00000615,2022,5000,Teamsters Union,10000,15000
N00000615,2022,13700,O&G Industries,0,13700
N00000615,2022,11590,State of Connecticut,0,11590
N00000615,2022,11200,Barrett Outdoor Communications,0,11200
N00000615,2022,11200,Cornerstone Govt Relations,0,11200
N00000615,2022,11160,Nextwavebio,0,11160
N00000615,2020,65450,Lockheed Martin,6000,71450
N00000615,2020,32200,American Israel Public Affairs Cmte,4200,36400
N00000615,2020,25462,Yale University,0,25462
N00000615,2020,5800,Alzheimer's Assn,10000,15800
N00000615,2020,0,USA Farm Worker PAC,13000,13000
N00000615,2020,0,National Rural Electric Cooperative Assn,12500,12500
N00000615,2020,11800,Kolmar Group,0,11800
N00000615,2020,11600,Hamsterhead Inc,0,11600
N00000615,2020,11500,Cavarocchi Ruscio Dennis Assoc,0,11500
N00000615,2020,0,Marine Engineers Beneficial Assn,11500,11500
N00000615,2020,35223,Yale University,0,35223
N00000615,2020,24223,"Koskoff, Koskoff & Bieder",0,24223
N00000615,2020,180,Raytheon Technologies,16000,16180
