CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000032948,Crestview Partners,406300,406300,0,0,0,45200,361100,0,0,0,0,287100,119200,0,www.opensecrets.org/orgs/summary.php?id=D000032948
2020,D000065646,East View Information Services,1122,1122,0,0,0,1022,100,0,0,0,0,55,1067,0,www.opensecrets.org/orgs/summary.php?id=D000065646
2012,D000094382,Edgeview Partners,114699,114699,0,0,0,0,114699,0,0,0,0,93999,20700,0,www.opensecrets.org/orgs/summary.php?id=D000094382
2022,D000070299,Fairview Capital,7350,7800,0,-450,0,7350,0,0,0,0,0,0,7800,0,www.opensecrets.org/orgs/summary.php?id=D000070299
2022,D000070298,Fairview Capital Partners,3000,3000,0,0,0,3000,0,0,0,0,0,0,3000,0,www.opensecrets.org/orgs/summary.php?id=D000070298
2022,D000050761,Fairview Health Services,28411,28411,0,0,0,15855,12556,140000,0,0,0,3455,22790,0,www.opensecrets.org/orgs/summary.php?id=D000050761
2022,D000050760,Fairview Hospital,307231,55481,0,251750,0,4227,51254,0,0,0,120,25304,30177,0,www.opensecrets.org/orgs/summary.php?id=D000050760
2022,D000033573,Fairview Insurance Agency,75700,42200,0,33500,0,42200,0,0,0,0,0,0,42200,0,www.opensecrets.org/orgs/summary.php?id=D000033573
2012,D000050923,First View LLC,1800,1800,0,0,0,0,1800,0,0,0,0,0,1800,0,www.opensecrets.org/orgs/summary.php?id=D000050923
2022,D000034069,Glenview Capital Management,8700,8700,0,0,0,8700,0,0,0,0,0,0,8700,0,www.opensecrets.org/orgs/summary.php?id=D000034069
2022,D000083642,Grand View Health,23188,19881,0,3307,0,18730,376,0,0,0,220,12395,7426,0,www.opensecrets.org/orgs/summary.php?id=D000083642
2022,D000077409,Hidden View Dairy,4500,4500,0,0,0,0,4500,0,0,0,0,0,3250,0,www.opensecrets.org/orgs/summary.php?id=D000077409
2020,D000070238,Hospitals for Accountability thru Judicial Review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000070238
2022,D000034759,Island View Casino Resort,19900,19900,0,0,0,0,19900,0,0,0,0,0,19900,0,www.opensecrets.org/orgs/summary.php?id=D000034759
2022,D000022374,Johns Hopkins Bayview Medical Center,1305,1305,0,0,0,1305,0,0,0,0,0,255,1050,0,www.opensecrets.org/orgs/summary.php?id=D000022374
2018,D000097056,Keystone Peer Review Organization,40,40,0,0,0,40,0,0,0,0,0,0,40,0,www.opensecrets.org/orgs/summary.php?id=D000097056
2020,D000085248,Lake View Cemetery Foundation,100,100,0,0,0,100,0,0,0,0,0,75,25,0,www.opensecrets.org/orgs/summary.php?id=D000085248
2020,D000089582,Lakeview Asset Management,437100,430600,0,6500,0,0,430600,0,0,0,0,259800,170800,0,www.opensecrets.org/orgs/summary.php?id=D000089582
2022,D000095688,Lakeview Capital (Michigan),42250,42250,0,0,0,41000,1250,0,0,0,0,36500,5750,0,www.opensecrets.org/orgs/summary.php?id=D000095688
2020,D000062084,Lakeview Capital Management,-1000,-1000,0,0,0,-1000,0,0,0,0,0,0,-1000,0,www.opensecrets.org/orgs/summary.php?id=D000062084
2020,D000091166,Lakeview Museum,20,20,0,0,0,0,0,0,0,0,0,20,0,0,www.opensecrets.org/orgs/summary.php?id=D000091166
2022,D000073783,Las Vegas Review-Journal,30,30,0,0,0,30,0,0,0,0,0,0,30,0,www.opensecrets.org/orgs/summary.php?id=D000073783
